codigo,nombre,precio,laboratorio
302024,CLEARENCE DE CREATININA ,3320,imalab
302032,CLORO ARTERIAL,1450,imalab
309012,CLORO EN ORINA 24 HRS.,1780,imalab
309012,CLORO EN ORINA AISLADA,1780,imalab
309012,CLORO URINARIO,1780,imalab
302032,CLORO VENOSO,1450,imalab
302032,CLORO VENOSO,1450,imalab
302020,COBRE,3376,imalab
309036,COBRE EN ORINA,80000,imalab
302035,COCAINA (BENZOILECGONINA),16771,imalab
301090,COFACTOR RISTOCETINA,105573,imalab
302068,COLESTEROL HDL,2275,imalab
302067,COLESTEROL TOTAL,1526,imalab
302021,COLINESTERASA,4880,imalab
308041,COLPOCITOGRAMA,3045,imalab
305012,COMPLEMENTO C1Q,7680,imalab
305013,COMPLEMENTO HEMOLITICO (CH 50),59200,imalab
307013,CON TECNICA ASEPTICA PARA HEMOCULTIVO C/U,1574,imalab
306007,COPROCULTIVO,4688,imalab
306048,COPROPARASITARIO (PAF),3354,imalab
306046,COPROPARASITARIO FASCIOLA HEPATICA,22833,imalab
306047,COPROPARASITARIO ISOSPORA SARCOCYSTIS,5265,imalab
303006,CORTISOL AM,6303,imalab
303006,CORTISOL BASAL (A.M. 9:00 HRS.),6303,imalab
303035,CORTISOL LIBRE URINARIO,9296,imalab
303035,CORTISOL LIBRE URINARIO 24 HRS.,9296,imalab
303006,CORTISOL PM,6303,imalab
303006,CORTISOL POST (PM 16 HRS.),6303,imalab
303056,CORTISOL SALIVAL,80144,imalab
302023,CREATININA,1505,imalab
308035,CREATININA EN LIQ AMNIOTICO,1450,imalab
309010,CREATININA EN ORINA,1746,imalab
309010,CREATININA EN ORINA 24 HRS,1746,imalab
309010,CREATININURIA 12 HRS,1746,imalab
302026,CREATINQUINASA TOTAL,4289,imalab
305035,CRIOAGLUTININAS,3004,imalab
305014,CRIOGLOBULINAS,1443,imalab
305036,CRIOHEMOLISINAS,3004,imalab
305098,CROMOGRANINA A,117661,imalab
302058,CRYPTOCOCCUS NEOFORMANS DETECCION ANTIGENO,3392,imalab
305097,CUANTIFICACION DE CELULAS PROGENITORAS HEMATOPOYETICAS CD34,56829,imalab
306543,CUANTIFICACION LAV. BRONCO ALVEOLAR,17190,imalab
309011,CUERPOS CETONICOS ORINA,2622,imalab
306100,CULTIVO ACELERADO PARA MICOBACTERIAS,62473,imalab
306008,CULTIVO AEROBIO AUTOMATIZADO,4090,imalab
306012,CULTIVO ANAEROBIO AUTOMATIZADO,9994,imalab
